woonplaats;gemeente;provincie;regio
Nieuweroord;Midden-Drenthe;Drenthe;Noord-Nederland
Nieuwersluis;StichtseVecht;Utrecht;West-Nederland
Nieuweschoot;Heerenveen;Fryslân;Noord-Nederland
Nieuwe-Tonge;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Nieuwkoop;Nieuwkoop;Zuid-Holland;West-Nederland
Nieuwkuijk;Heusden;Noord-Brabant;Zuid-Nederland
Nieuwland;Vijfheerenlanden;Utrecht;West-Nederland
Nieuwlande;Hoogeveen;Drenthe;Noord-Nederland
Nieuwlande Coevorden;Coevorden;Drenthe;Noord-Nederland
Nieuw-Lekkerland;Molenlanden;Zuid-Holland;West-Nederland
Nieuwleusen;Dalfsen;Overijssel;Oost-Nederland
Nieuwolda;Oldambt;Groningen;Noord-Nederland
Nieuwpoort;Molenlanden;Zuid-Holland;West-Nederland
Nieuw-Roden;Noordenveld;Drenthe;Noord-Nederland
Nieuw-Schoonebeek;Emmen;Drenthe;Noord-Nederland
Nieuwstadt;Echt-Susteren;Limburg;Zuid-Nederland
Nieuwveen;Nieuwkoop;Zuid-Holland;West-Nederland
Nieuw-Vennep;Haarlemmermeer;Noord-Holland;West-Nederland
Nieuwvliet;Sluis;Zeeland;West-Nederland
Nieuw-Vossemeer;Steenbergen;Noord-Brabant;Zuid-Nederland
Nieuw-Weerdinge;Emmen;Drenthe;Noord-Nederland
Niezijl;Westerkwartier;Groningen;Noord-Nederland
Niftrik;Wijchen;Gelderland;Oost-Nederland
Nigtevecht;StichtseVecht;Utrecht;West-Nederland
Nij Altoenae;Waadhoeke;Fryslân;Noord-Nederland
Nij Beets;Opsterland;Fryslân;Noord-Nederland
Nijbroek;Voorst;Gelderland;Oost-Nederland
Nijeberkoop;Ooststellingwerf;Fryslân;Noord-Nederland
Nijega;Smallingerland;Fryslân;Noord-Nederland
Nijehaske;DeFryskeMarren;Fryslân;Noord-Nederland
Nijeholtpade;Weststellingwerf;Fryslân;Noord-Nederland
Nijeholtwolde;Weststellingwerf;Fryslân;Noord-Nederland
Nijelamer;Weststellingwerf;Fryslân;Noord-Nederland
Nijemirdum;DeFryskeMarren;Fryslân;Noord-Nederland
Nijensleek;Westerveld;Drenthe;Noord-Nederland
Nijetrijne;Weststellingwerf;Fryslân;Noord-Nederland
Nijeveen;Meppel;Drenthe;Noord-Nederland
Nijhuizum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Nijkerk;Nijkerk;Gelderland;Oost-Nederland
Nijkerkerveen;Nijkerk;Gelderland;Oost-Nederland
Nijland;Súdwest-Fryslân;Fryslân;Noord-Nederland
Nijlande;AaenHunze;Drenthe;Noord-Nederland
Nijmegen;Nijmegen;Gelderland;Oost-Nederland
Nijverdal;Hellendoorn;Overijssel;Oost-Nederland
Nispen;Roosendaal;Noord-Brabant;Zuid-Nederland
Nisse;Borsele;Zeeland;West-Nederland
Nistelrode;Bernheze;Noord-Brabant;Zuid-Nederland
Noardburgum;Tytsjerksteradiel;Fryslân;Noord-Nederland
Nooitgedacht;AaenHunze;Drenthe;Noord-Nederland
Noorbeek;Eijsden-Margraten;Limburg;Zuid-Nederland
Noordbeemster;Beemster;Noord-Holland;West-Nederland
Noordbroek;Midden-Groningen;Groningen;Noord-Nederland
Noordeinde;Alkmaar;Noord-Holland;West-Nederland
Noordeinde Gld;Oldebroek;Gelderland;Oost-Nederland
Noordeloos;Molenlanden;Zuid-Holland;West-Nederland
Noorden;Nieuwkoop;Zuid-Holland;West-Nederland
Noordgouwe;Schouwen-Duiveland;Zeeland;West-Nederland
Noordhoek;Moerdijk;Noord-Brabant;Zuid-Nederland
Noordhorn;Westerkwartier;Groningen;Noord-Nederland
Noordlaren;Groningen;Groningen;Noord-Nederland
Noord-Scharwoude;Langedijk;Noord-Holland;West-Nederland
Noordscheschut;Hoogeveen;Drenthe;Noord-Nederland
Noord-Sleen;Coevorden;Drenthe;Noord-Nederland
Noordwelle;Schouwen-Duiveland;Zeeland;West-Nederland
Noordwijk;Noordwijk;Zuid-Holland;West-Nederland
Noordwijkerhout;Noordwijk;Zuid-Holland;West-Nederland
Noordwolde;HetHogeland;Groningen;Noord-Nederland
Noordwolde;Weststellingwerf;Fryslân;Noord-Nederland
Nootdorp;Pijnacker-Nootdorp;Zuid-Holland;West-Nederland
Norg;Noordenveld;Drenthe;Noord-Nederland
Notter;Wierden;Overijssel;Oost-Nederland
Nuenen;Nuenen,GerwenenNederwetten;Noord-Brabant;Zuid-Nederland
Nuis;Westerkwartier;Groningen;Noord-Nederland
Nuland;'s-Hertogenbosch;Noord-Brabant;Zuid-Nederland
Numansdorp;HoekscheWaard;Zuid-Holland;West-Nederland
Nunhem;Leudal;Limburg;Zuid-Nederland
Nunspeet;Nunspeet;Gelderland;Oost-Nederland
Nuth;Beekdaelen;Limburg;Zuid-Nederland
Nutter;Dinkelland;Overijssel;Oost-Nederland
Obbicht;Sittard-Geleen;Limburg;Zuid-Nederland
Obdam;Koggenland;Noord-Holland;West-Nederland
Ochten;Neder-Betuwe;Gelderland;Oost-Nederland
Odijk;Bunnik;Utrecht;West-Nederland
Odiliapeel;Uden;Noord-Brabant;Zuid-Nederland
Odoorn;Borger-Odoorn;Drenthe;Noord-Nederland
Odoornerveen;Borger-Odoorn;Drenthe;Noord-Nederland
Oeffelt;Boxmeer;Noord-Brabant;Zuid-Nederland
Oegstgeest;Oegstgeest;Zuid-Holland;West-Nederland
Oene;Epe;Gelderland;Oost-Nederland
Oentsjerk;Tytsjerksteradiel;Fryslân;Noord-Nederland
Den Oever;HollandsKroon;Noord-Holland;West-Nederland
Offingawier;Súdwest-Fryslân;Fryslân;Noord-Nederland
Ohé en Laak;Maasgouw;Limburg;Zuid-Nederland
Oijen;Oss;Noord-Brabant;Zuid-Nederland
Oirlo;Venray;Limburg;Zuid-Nederland
Oirsbeek;Beekdaelen;Limburg;Zuid-Nederland
Oirschot;Oirschot;Noord-Brabant;Zuid-Nederland
Oisterwijk;Oisterwijk;Noord-Brabant;Zuid-Nederland
Okkenbroek;Deventer;Overijssel;Oost-Nederland
Olburgen;Bronckhorst;Gelderland;Oost-Nederland
Oldeberkoop;Ooststellingwerf;Fryslân;Noord-Nederland
Oldebroek;Oldebroek;Gelderland;Oost-Nederland
Oldeholtpade;Weststellingwerf;Fryslân;Noord-Nederland
Oldeholtwolde;Weststellingwerf;Fryslân;Noord-Nederland
Oldehove;Westerkwartier;Groningen;Noord-Nederland
Oldekerk;Westerkwartier;Groningen;Noord-Nederland
Oldelamer;Weststellingwerf;Fryslân;Noord-Nederland
Oldemarkt;Steenwijkerland;Overijssel;Oost-Nederland
Oldenzaal;Oldenzaal;Overijssel;Oost-Nederland
Oldenzijl;HetHogeland;Groningen;Noord-Nederland
Oldeouwer;DeFryskeMarren;Fryslân;Noord-Nederland
Oldetrijne;Weststellingwerf;Fryslân;Noord-Nederland
Olst;Olst-Wijhe;Overijssel;Oost-Nederland
Olterterp;Opsterland;Fryslân;Noord-Nederland
Ommel;Asten;Noord-Brabant;Zuid-Nederland
Ommen;Ommen;Overijssel;Oost-Nederland
Ommeren;Buren;Gelderland;Oost-Nederland
Onderdendam;HetHogeland;Groningen;Noord-Nederland
Onna;Steenwijkerland;Overijssel;Oost-Nederland
Onnen;Groningen;Groningen;Noord-Nederland
Onstwedde;Stadskanaal;Groningen;Noord-Nederland
Ooij;BergenDal;Gelderland;Oost-Nederland
Ooltgensplaat;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Oost West en Middelbeers;Oirschot;Noord-Brabant;Zuid-Nederland
Oostburg;Sluis;Zeeland;West-Nederland
Oostdijk;Reimerswaal;Zeeland;West-Nederland
Oosteind;Oosterhout;Noord-Brabant;Zuid-Nederland
Oosterbeek;Renkum;Gelderland;Oost-Nederland
Oosterbierum;Waadhoeke;Fryslân;Noord-Nederland
Oosterblokker;Drechterland;Noord-Holland;West-Nederland
Oosterend;Terschelling;Fryslân;Noord-Nederland
Oosterend;Texel;Noord-Holland;West-Nederland
Oosterhesselen;Coevorden;Drenthe;Noord-Nederland
Oosterhout;Overbetuwe;Gelderland;Oost-Nederland
Oosterhout;Oosterhout;Noord-Brabant;Zuid-Nederland
Oosterland;Schouwen-Duiveland;Zeeland;West-Nederland
Oosterleek;Drechterland;Noord-Holland;West-Nederland
Oosternieland;HetHogeland;Groningen;Noord-Nederland
Oosternijkerk;Noardeast-Fryslân;Fryslân;Noord-Nederland
Oosterstreek;Weststellingwerf;Fryslân;Noord-Nederland
Oosterwijk;Vijfheerenlanden;Utrecht;West-Nederland
Oosterwijtwerd;Loppersum;Groningen;Noord-Nederland
Oosterwolde;Ooststellingwerf;Fryslân;Noord-Nederland
Oosterwolde Gld;Oldebroek;Gelderland;Oost-Nederland
Oosterzee;DeFryskeMarren;Fryslân;Noord-Nederland
Oost-Graftdijk;Alkmaar;Noord-Holland;West-Nederland
Oosthem;Súdwest-Fryslân;Fryslân;Noord-Nederland
Oosthuizen;Edam-Volendam;Noord-Holland;West-Nederland
Oostkapelle;Veere;Zeeland;West-Nederland
Oostknollendam;Wormerland;Noord-Holland;West-Nederland
Oostrum;Venray;Limburg;Zuid-Nederland
Oostrum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Oost-Souburg;Vlissingen;Zeeland;West-Nederland
Oostvoorne;Westvoorne;Zuid-Holland;West-Nederland
Oostwold;Oldambt;Groningen;Noord-Nederland
Oostwold;Westerkwartier;Groningen;Noord-Nederland
Oostwoud;Medemblik;Noord-Holland;West-Nederland
Oostzaan;Oostzaan;Noord-Holland;West-Nederland
Ootmarsum;Dinkelland;Overijssel;Oost-Nederland
Opeinde;Smallingerland;Fryslân;Noord-Nederland
Opende;Westerkwartier;Groningen;Noord-Nederland
Ophemert;WestBetuwe;Gelderland;Oost-Nederland
Opheusden;Neder-Betuwe;Gelderland;Oost-Nederland
Opijnen;WestBetuwe;Gelderland;Oost-Nederland
Oploo;SintAnthonis;Noord-Brabant;Zuid-Nederland
Opmeer;Opmeer;Noord-Holland;West-Nederland
Oppenhuizen;Súdwest-Fryslân;Fryslân;Noord-Nederland
Opperdoes;Medemblik;Noord-Holland;West-Nederland
Oranje;Midden-Drenthe;Drenthe;Noord-Nederland
Oranjewoud;Heerenveen;Fryslân;Noord-Nederland
Orvelte;Midden-Drenthe;Drenthe;Noord-Nederland
Ospel;Nederweert;Limburg;Zuid-Nederland
Oss;Oss;Noord-Brabant;Zuid-Nederland
Ossendrecht;Woensdrecht;Noord-Brabant;Zuid-Nederland
Ossenisse;Hulst;Zeeland;West-Nederland
Ossenwaard;Vijfheerenlanden;Utrecht;West-Nederland
Ossenzijl;Steenwijkerland;Overijssel;Oost-Nederland
Oterleek;Alkmaar;Noord-Holland;West-Nederland
Otterlo;Ede;Gelderland;Oost-Nederland
Ottersum;Gennep;Limburg;Zuid-Nederland
Ottoland;Molenlanden;Zuid-Holland;West-Nederland
Oud Ade;KaagenBraassem;Zuid-Holland;West-Nederland
Oud Annerveen;AaenHunze;Drenthe;Noord-Nederland
Oud Gastel;Halderberge;Noord-Brabant;Zuid-Nederland
Oud Ootmarsum;Dinkelland;Overijssel;Oost-Nederland
Oud Zuilen;StichtseVecht;Utrecht;West-Nederland
Oud-Alblas;Molenlanden;Zuid-Holland;West-Nederland
Oud-Beijerland;HoekscheWaard;Zuid-Holland;West-Nederland
Ouddorp;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Oude Meer;Haarlemmermeer;Noord-Holland;West-Nederland
Oude Niedorp;HollandsKroon;Noord-Holland;West-Nederland
Oude Pekela;Pekela;Groningen;Noord-Nederland
Oude Wetering;KaagenBraassem;Zuid-Holland;West-Nederland
Oude Willem;Westerveld;Drenthe;Noord-Nederland
Oudebildtzijl;Waadhoeke;Fryslân;Noord-Nederland
Oudega;Smallingerland;Fryslân;Noord-Nederland
Oudega;DeFryskeMarren;Fryslân;Noord-Nederland
Oudega;Súdwest-Fryslân;Fryslân;Noord-Nederland
Oudehaske;DeFryskeMarren;Fryslân;Noord-Nederland
Oudehorne;Heerenveen;Fryslân;Noord-Nederland
Oudelande;Borsele;Zeeland;West-Nederland
Oudemirdum;DeFryskeMarren;Fryslân;Noord-Nederland
Oudemolen;Moerdijk;Noord-Brabant;Zuid-Nederland
Oudemolen;Tynaarlo;Drenthe;Noord-Nederland
Oudenbosch;Halderberge;Noord-Brabant;Zuid-Nederland
Oudendijk;Koggenland;Noord-Holland;West-Nederland
Oudenhoorn;Hellevoetsluis;Zuid-Holland;West-Nederland
Ouderkerk aan de Amstel;Ouder-Amstel;Noord-Holland;West-Nederland
Ouderkerk aan den IJssel;Krimpenerwaard;Zuid-Holland;West-Nederland
Oudeschans;Westerwolde;Groningen;Noord-Nederland
Oudeschild;Texel;Noord-Holland;West-Nederland
Oudeschip;HetHogeland;Groningen;Noord-Nederland
Oudeschoot;Heerenveen;Fryslân;Noord-Nederland
Oudesluis;Schagen;Noord-Holland;West-Nederland
Oude-Tonge;Goeree-Overflakkee;Zuid-Holland;West-Nederland
Oudewater;Oudewater;Utrecht;West-Nederland
Oudezijl;Oldambt;Groningen;Noord-Nederland
Oudheusden;Heusden;Noord-Brabant;Zuid-Nederland
Oudkarspel;Schagen;Noord-Holland;West-Nederland
Oudkarspel;Langedijk;Noord-Holland;West-Nederland
Oudorp;Alkmaar;Noord-Holland;West-Nederland
Oud-Vossemeer;Tholen;Zeeland;West-Nederland
Oudwoude;Noardeast-Fryslân;Fryslân;Noord-Nederland
Ouwerkerk;Schouwen-Duiveland;Zeeland;West-Nederland
Ouwsterhaule;DeFryskeMarren;Fryslân;Noord-Nederland
Ouwster-Nijega;DeFryskeMarren;Fryslân;Noord-Nederland
Overasselt;Heumen;Gelderland;Oost-Nederland
Overberg;UtrechtseHeuvelrug;Utrecht;West-Nederland
Overdinkel;Losser;Overijssel;Oost-Nederland
Overlangel;Oss;Noord-Brabant;Zuid-Nederland
Overloon;Boxmeer;Noord-Brabant;Zuid-Nederland
Overschild;Midden-Groningen;Groningen;Noord-Nederland
Overslag;Terneuzen;Zeeland;West-Nederland
Overveen;Bloemendaal;Noord-Holland;West-Nederland
Ovezande;Borsele;Zeeland;West-Nederland
Paasloo;Steenwijkerland;Overijssel;Oost-Nederland
Paesens;Noardeast-Fryslân;Fryslân;Noord-Nederland
Pannerden;Zevenaar;Gelderland;Oost-Nederland
Panningen;PeelenMaas;Limburg;Zuid-Nederland
Papekop;Oudewater;Utrecht;West-Nederland
Papendrecht;Papendrecht;Zuid-Holland;West-Nederland
Papenhoven;Sittard-Geleen;Limburg;Zuid-Nederland
Papenvoort;AaenHunze;Drenthe;Noord-Nederland
Parrega;Súdwest-Fryslân;Fryslân;Noord-Nederland
Paterswolde;Tynaarlo;Drenthe;Noord-Nederland
Peest;Noordenveld;Drenthe;Noord-Nederland
Peins;Waadhoeke;Fryslân;Noord-Nederland
Peize;Noordenveld;Drenthe;Noord-Nederland
Peperga;Weststellingwerf;Fryslân;Noord-Nederland
Pernis Rotterdam;Rotterdam;Zuid-Holland;West-Nederland
Persingen;BergenDal;Gelderland;Oost-Nederland
Pesse;Westerveld;Drenthe;Noord-Nederland
Pesse;Hoogeveen;Drenthe;Noord-Nederland
Petten;Schagen;Noord-Holland;West-Nederland
Philippine;Terneuzen;Zeeland;West-Nederland
Piaam;Súdwest-Fryslân;Fryslân;Noord-Nederland
Piershil;HoekscheWaard;Zuid-Holland;West-Nederland
Pieterburen;HetHogeland;Groningen;Noord-Nederland
Pietersbierum;Waadhoeke;Fryslân;Noord-Nederland
Pieterzijl;Westerkwartier;Groningen;Noord-Nederland
Pijnacker;Pijnacker-Nootdorp;Zuid-Holland;West-Nederland
Pingjum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Plasmolen;MookenMiddelaar;Limburg;Zuid-Nederland
Poederoijen;Zaltbommel;Gelderland;Oost-Nederland
Poeldijk;Westland;Zuid-Holland;West-Nederland
De Pol;Steenwijkerland;Overijssel;Oost-Nederland
Polsbroek;Lopik;Utrecht;West-Nederland
Poortugaal;Albrandswaard;Zuid-Holland;West-Nederland
Poortvliet;Tholen;Zeeland;West-Nederland
Poppenwier;Súdwest-Fryslân;Fryslân;Noord-Nederland
Ten Post;Groningen;Groningen;Noord-Nederland
Posterholt;Roerdalen;Limburg;Zuid-Nederland
Prinsenbeek;Breda;Noord-Brabant;Zuid-Nederland
Puiflijk;Druten;Gelderland;Oost-Nederland
De Punt;Tynaarlo;Drenthe;Noord-Nederland
Punthorst;Staphorst;Overijssel;Oost-Nederland
Purmer;Edam-Volendam;Noord-Holland;West-Nederland
Purmer;Waterland;Noord-Holland;West-Nederland
Purmerend;Purmerend;Noord-Holland;West-Nederland
Purmerland;Landsmeer;Noord-Holland;West-Nederland
Puth;Beekdaelen;Limburg;Zuid-Nederland
Putte;Woensdrecht;Noord-Brabant;Zuid-Nederland
Putten;Putten;Gelderland;Oost-Nederland
Puttershoek;HoekscheWaard;Zuid-Holland;West-Nederland
Raalte;Raalte;Overijssel;Oost-Nederland
Raamsdonk;Geertruidenberg;Noord-Brabant;Zuid-Nederland
Raamsdonksveer;Geertruidenberg;Noord-Brabant;Zuid-Nederland
Raard;Noardeast-Fryslân;Fryslân;Noord-Nederland
Radewijk;Hardenberg;Overijssel;Oost-Nederland
Radio Kootwijk;Apeldoorn;Gelderland;Oost-Nederland
Raerd;Súdwest-Fryslân;Fryslân;Noord-Nederland
Randwijk;Overbetuwe;Gelderland;Oost-Nederland
Ransdaal;Voerendaal;Limburg;Zuid-Nederland
Rasquert;HetHogeland;Groningen;Noord-Nederland
Ravenstein;Oss;Noord-Brabant;Zuid-Nederland
Ravenswaaij;Buren;Gelderland;Oost-Nederland
Ravenswoud;Ooststellingwerf;Fryslân;Noord-Nederland
Readtsjerk;Dantumadiel;Fryslân;Noord-Nederland
Reahûs;Súdwest-Fryslân;Fryslân;Noord-Nederland
Reduzum;Leeuwarden;Fryslân;Noord-Nederland
Reek;Landerd;Noord-Brabant;Zuid-Nederland
Reeuwijk;Bodegraven-Reeuwijk;Zuid-Holland;West-Nederland
Reijmerstok;Gulpen-Wittem;Limburg;Zuid-Nederland
Reitsum;Noardeast-Fryslân;Fryslân;Noord-Nederland
Rekken;Berkelland;Gelderland;Oost-Nederland
Renesse;Schouwen-Duiveland;Zeeland;West-Nederland
Renkum;Renkum;Gelderland;Oost-Nederland
Renswoude;Renswoude;Utrecht;West-Nederland
Ressen;Lingewaard;Gelderland;Oost-Nederland
Retranchement;Sluis;Zeeland;West-Nederland
Reusel;Reusel-DeMierden;Noord-Brabant;Zuid-Nederland
Reutum;Tubbergen;Overijssel;Oost-Nederland
Reuver;Beesel;Limburg;Zuid-Nederland
Rha;Bronckhorst;Gelderland;Oost-Nederland
Rheden;Rheden;Gelderland;Oost-Nederland
Rhee;Assen;Drenthe;Noord-Nederland
Rheeze;Hardenberg;Overijssel;Oost-Nederland
Rheezerveen;Hardenberg;Overijssel;Oost-Nederland
Rhenen;Rhenen;Utrecht;West-Nederland
Rhenoy;WestBetuwe;Gelderland;Oost-Nederland
Rhoon;Albrandswaard;Zuid-Holland;West-Nederland
Ridderkerk;Ridderkerk;Zuid-Holland;West-Nederland
Ried;Waadhoeke;Fryslân;Noord-Nederland
Riel;Goirle;Noord-Brabant;Zuid-Nederland
Rien;Súdwest-Fryslân;Fryslân;Noord-Nederland
Riethoven;Bergeijk;Noord-Brabant;Zuid-Nederland
Rietmolen;Berkelland;Gelderland;Oost-Nederland
Rijen;GilzeenRijen;Noord-Brabant;Zuid-Nederland
Rijkevoort;Boxmeer;Noord-Brabant;Zuid-Nederland
Rijkevoort-De Walsert;SintAnthonis;Noord-Brabant;Zuid-Nederland
Rijnsaterwoude;KaagenBraassem;Zuid-Holland;West-Nederland
Rijnsburg;Katwijk;Zuid-Holland;West-Nederland
De Rijp;Alkmaar;Noord-Holland;West-Nederland
Rijpwetering;KaagenBraassem;Zuid-Holland;West-Nederland
Rijs;DeFryskeMarren;Fryslân;Noord-Nederland
Rijsbergen;Zundert;Noord-Brabant;Zuid-Nederland
Rijsenhout;Haarlemmermeer;Noord-Holland;West-Nederland
Rijssen;Rijssen-Holten;Overijssel;Oost-Nederland
Rijswijk;Rijswijk;Zuid-Holland;West-Nederland
Rijswijk (GLD);Buren;Gelderland;Oost-Nederland
Rijswijk (NB);Altena;Noord-Brabant;Zuid-Nederland
Rilland;Reimerswaal;Zeeland;West-Nederland
Rinsumageast;Dantumadiel;Fryslân;Noord-Nederland
De Rips;Gemert-Bakel;Noord-Brabant;Zuid-Nederland
Ritthem;Vlissingen;Zeeland;West-Nederland
Rockanje;Westvoorne;Zuid-Holland;West-Nederland
Roden;Noordenveld;Drenthe;Noord-Nederland
Roderesch;Noordenveld;Drenthe;Noord-Nederland
Roderwolde;Noordenveld;Drenthe;Noord-Nederland
Roelofarendsveen;KaagenBraassem;Zuid-Holland;West-Nederland
Roermond;Roermond;Limburg;Zuid-Nederland
Rogat;Meppel;Drenthe;Noord-Nederland
Roggel;Leudal;Limburg;Zuid-Nederland
Rohel;DeFryskeMarren;Fryslân;Noord-Nederland
Rolde;AaenHunze;Drenthe;Noord-Nederland
Roodeschool;HetHogeland;Groningen;Noord-Nederland
Roosendaal;Roosendaal;Noord-Brabant;Zuid-Nederland
Roosteren;Echt-Susteren;Limburg;Zuid-Nederland
Rosmalen;'s-Hertogenbosch;Noord-Brabant;Zuid-Nederland
Rossum;Dinkelland;Overijssel;Oost-Nederland
Rossum;Maasdriel;Gelderland;Oost-Nederland
Roswinkel;Emmen;Drenthe;Noord-Nederland
Rotstergaast;DeFryskeMarren;Fryslân;Noord-Nederland
Rotsterhaule;DeFryskeMarren;Fryslân;Noord-Nederland
Rotterdam;Rotterdam;Zuid-Holland;West-Nederland
Rotterdam-Albrandswaard;Albrandswaard;Zuid-Holland;West-Nederland
Rottevalle;Smallingerland;Fryslân;Noord-Nederland
Rottum;HetHogeland;Groningen;Noord-Nederland
Rottum;DeFryskeMarren;Fryslân;Noord-Nederland
Rouveen;Staphorst;Overijssel;Oost-Nederland
Rozenburg;Rotterdam;Zuid-Holland;West-Nederland
Rozenburg;Haarlemmermeer;Noord-Holland;West-Nederland
Rozendaal;Rozendaal;Gelderland;Oost-Nederland
Rucphen;Rucphen;Noord-Brabant;Zuid-Nederland
Ruigahuizen;DeFryskeMarren;Fryslân;Noord-Nederland
Ruinen;Westerveld;Drenthe;Noord-Nederland
Ruinen;DeWolden;Drenthe;Noord-Nederland
Ruinerwold;DeWolden;Drenthe;Noord-Nederland
Rumpt;WestBetuwe;Gelderland;Oost-Nederland
Rutten;Noordoostpolder;Flevoland;Oost-Nederland
Ruurlo;Berkelland;Gelderland;Oost-Nederland
Ryptsjerk;Tytsjerksteradiel;Fryslân;Noord-Nederland
Saaksum;Westerkwartier;Groningen;Noord-Nederland
Saasveld;Dinkelland;Overijssel;Oost-Nederland
Saaxumhuizen;HetHogeland;Groningen;Noord-Nederland
Sambeek;Boxmeer;Noord-Brabant;Zuid-Nederland
Sandfirden;Súdwest-Fryslân;Fryslân;Noord-Nederland
Santpoort-Noord;Velsen;Noord-Holland;West-Nederland
Santpoort-Zuid;Velsen;Noord-Holland;West-Nederland
Sappemeer;Midden-Groningen;Groningen;Noord-Nederland
Sas van Gent;Terneuzen;Zeeland;West-Nederland
Sassenheim;Teylingen;Zuid-Holland;West-Nederland
Sauwerd;HetHogeland;Groningen;Noord-Nederland
Schagen;Schagen;Noord-Holland;West-Nederland
Schagerbrug;Schagen;Noord-Holland;West-Nederland
Schaijk;Landerd;Noord-Brabant;Zuid-Nederland
Schalkhaar;Deventer;Overijssel;Oost-Nederland
Schalkwijk;Houten;Utrecht;West-Nederland
Schalsum;Waadhoeke;Fryslân;Noord-Nederland
Schardam;Edam-Volendam;Noord-Holland;West-Nederland
Scharendijke;Schouwen-Duiveland;Zeeland;West-Nederland
Scharmer;Midden-Groningen;Groningen;Noord-Nederland
Scharnegoutum;Súdwest-Fryslân;Fryslân;Noord-Nederland
Scharsterbrug;DeFryskeMarren;Fryslân;Noord-Nederland
Scharwoude;Koggenland;Noord-Holland;West-Nederland
Scheemda;Oldambt;Groningen;Noord-Nederland
Scheerwolde;Steenwijkerland;Overijssel;Oost-Nederland
Schellinkhout;Drechterland;Noord-Holland;West-Nederland
Schelluinen;Molenlanden;Zuid-Holland;West-Nederland
Schermerhorn;Alkmaar;Noord-Holland;West-Nederland
Scherpenisse;Tholen;Zeeland;West-Nederland
Scherpenzeel;Weststellingwerf;Fryslân;Noord-Nederland
Scherpenzeel;Scherpenzeel;Gelderland;Oost-Nederland
Schettens;Súdwest-Fryslân;Fryslân;Noord-Nederland
Scheulder;Eijsden-Margraten;Limburg;Zuid-Nederland
Schiedam;Schiedam;Zuid-Holland;West-Nederland
Schiermonnikoog;Schiermonnikoog;Fryslân;Noord-Nederland
Schijf;Rucphen;Noord-Brabant;Zuid-Nederland
Schijndel;Meierijstad;Noord-Brabant;Zuid-Nederland
Schildwolde;Midden-Groningen;Groningen;Noord-Nederland
Schimmert;Beekdaelen;Limburg;Zuid-Nederland
Schin op Geul;ValkenburgaandeGeul;Limburg;Zuid-Nederland
Schinnen;Beekdaelen;Limburg;Zuid-Nederland
Schinveld;Beekdaelen;Limburg;Zuid-Nederland
Schipborg;AaenHunze;Drenthe;Noord-Nederland
Schiphol;Haarlemmermeer;Noord-Holland;West-Nederland
Schiphol-Rijk;Haarlemmermeer;Noord-Holland;West-Nederland
De Schiphorst;Meppel;Drenthe;Noord-Nederland
Schipluiden;Midden-Delfland;Zuid-Holland;West-Nederland
Schokland;Noordoostpolder;Flevoland;Oost-Nederland
Schoondijke;Sluis;Zeeland;West-Nederland
Schoonebeek;Emmen;Drenthe;Noord-Nederland
Schoonhoven;Krimpenerwaard;Zuid-Holland;West-Nederland
Schoonloo;AaenHunze;Drenthe;Noord-Nederland
Schoonoord;Coevorden;Drenthe;Noord-Nederland
Schoonrewoerd;Vijfheerenlanden;Utrecht;West-Nederland
Schoorl;Bergen(NH.);Noord-Holland;West-Nederland
Schore;Kapelle;Zeeland;West-Nederland
Schouwerzijl;HetHogeland;Groningen;Noord-Nederland
Schraard;Súdwest-Fryslân;Fryslân;Noord-Nederland
Schuinesloot;Hardenberg;Overijssel;Oost-Nederland
Sebaldeburen;Westerkwartier;Groningen;Noord-Nederland
Sellingen;Westerwolde;Groningen;Noord-Nederland
Serooskerke;Schouwen-Duiveland;Zeeland;West-Nederland
Serooskerke;Veere;Zeeland;West-Nederland
Sevenum;HorstaandeMaas;Limburg;Zuid-Nederland
Sexbierum;Waadhoeke;Fryslân;Noord-Nederland
Sibculo;Twenterand;Overijssel;Oost-Nederland
Sibculo;Hardenberg;Overijssel;Oost-Nederland
Sibrandabuorren;Súdwest-Fryslân;Fryslân;Noord-Nederland
Sibrandahûs;Dantumadiel;Fryslân;Noord-Nederland
Siddeburen;Midden-Groningen;Groningen;Noord-Nederland
Siebengewald;Bergen(L.);Limburg;Zuid-Nederland
Siegerswoude;Opsterland;Fryslân;Noord-Nederland
Sijbekarspel;Medemblik;Noord-Holland;West-Nederland
Silvolde;OudeIJsselstreek;Gelderland;Oost-Nederland
Simonshaven;Nissewaard;Zuid-Holland;West-Nederland
Simpelveld;Simpelveld;Limburg;Zuid-Nederland
Sinderen;OudeIJsselstreek;Gelderland;Oost-Nederland
Sint Agatha;Cuijk;Noord-Brabant;Zuid-Nederland
Sint Annen;Groningen;Groningen;Noord-Nederland
Sint Anthonis;SintAnthonis;Noord-Brabant;Zuid-Nederland
Sint Geertruid;Eijsden-Margraten;Limburg;Zuid-Nederland
Sint Hubert;MillenSintHubert;Noord-Brabant;Zuid-Nederland
